	8.40E+03	7.96E+07	-4.74E+05	7.69E+05	6.24E+05
	8.47E+03	8.07E+07	-4.81E+05	6.26E+05	3.96E+05
	8.53E+03	8.09E+07	-4.84E+05	0.00E+00	2.75E+05
	8.60E+03	8.16E+07	-4.77E+05	4.08E+05	2.37E+05
	8.66E+03	8.25E+07	-4.91E+05	5.12E+05	2.01E+05
	8.73E+03	8.28E+07	-4.86E+05	0.00E+00	1.53E+05
	8.80E+03	8.39E+07	-4.85E+05	2.63E+05	2.95E+05
	8.86E+03	8.39E+07	-4.90E+05	9.38E+05	6.49E+05
	8.93E+03	8.48E+07	-5.01E+05	7.47E+05	5.64E+05
	8.99E+03	8.57E+07	-5.03E+05	5.65E+03	1.52E+05
	9.06E+03	8.58E+07	-5.01E+05	0.00E+00	0.00E+00
	9.13E+03	8.70E+07	-4.98E+05	1.57E+05	2.67E+05
	9.19E+03	8.69E+07	-5.04E+05	9.43E+05	5.50E+05
	9.26E+03	8.84E+07	-5.13E+05	5.51E+05	5.49E+05
	9.33E+03	8.85E+07	-5.13E+05	1.53E+05	1.67E+05
	9.39E+03	8.91E+07	-5.16E+05	0.00E+00	0.00E+00
	9.46E+03	9.00E+07	-5.10E+05	0.00E+00	0.00E+00
	9.52E+03	9.02E+07	-5.11E+05	3.34E+05	2.52E+05
	9.59E+03	9.15E+07	-5.15E+05	7.35E+05	4.88E+05
	9.66E+03	9.14E+07	-5.23E+05	3.95E+05	3.49E+05
	9.72E+03	9.23E+07	-5.22E+05	0.00E+00	2.45E+05
	9.79E+03	9.32E+07	-5.21E+05	4.24E+05	2.58E+05
	9.85E+03	9.35E+07	-5.29E+05	4.33E+05	2.07E+05
	9.92E+03	9.46E+07	-5.29E+05	0.00E+00	0.00E+00
	9.99E+03	9.44E+07	-5.25E+05	0.00E+00	3.83E+04
	1.01E+04	9.57E+07	-5.22E+05	7.25E+05	5.10E+05
	1.01E+04	9.62E+07	-5.37E+05	1.18E+06	6.96E+05
	1.02E+04	9.66E+07	-5.42E+05	1.83E+05	4.39E+05
	1.03E+04	9.76E+07	-5.40E+05	0.00E+00	2.26E+05
	1.03E+04	9.75E+07	-5.41E+05	5.37E+05	1.19E+05
	1.04E+04	9.93E+07	-5.49E+05	0.00E+00	3.75E+04
	1.04E+04	9.90E+07	-5.39E+05	0.00E+00	2.95E+05
	1.05E+04	9.98E+07	-5.44E+05	1.31E+06	7.23E+05
	1.06E+04	1.01E+08	-5.61E+05	1.15E+06	7.74E+05
	1.06E+04	1.01E+08	-5.63E+05	0.00E+00	2.45E+05
	1.07E+04	1.02E+08	-5.59E+05	0.00E+00	0.00E+00
	1.08E+04	1.02E+08	-5.59E+05	1.75E+05	2.10E+05
	1.08E+04	1.03E+08	-5.61E+05	7.30E+05	4.76E+05
	1.09E+04	1.04E+08	-5.71E+05	5.22E+05	6.04E+05
	1.10E+04	1.04E+08	-5.70E+05	5.58E+05	4.56E+05
	1.10E+04	1.05E+08	-5.80E+05	2.86E+05	4.09E+05
	1.11E+04	1.05E+08	-5.75E+05	3.83E+05	5.03E+05
	1.12E+04	1.07E+08	-5.86E+05	8.39E+05	5.55E+05
	1.12E+04	1.07E+08	-5.89E+05	4.44E+05	6.62E+05
	1.13E+04	1.07E+08	-5.94E+05	7.03E+05	4.09E+05
	1.14E+04	1.08E+08	-6.01E+05	7.92E+04	1.14E+05
